FlexLM Feature Code,Description
2D0,PDS 2D PID
2D1,PDS 2D
2D2,PDS 2D Graphics Only
2D3,PDS IDM
3D,PDS 3D
40100ARCHDESK_3_3F,Architectural Desktop R3.3
40200ACDLAND_3_0F,Land Development Desktop R3
40300MAP_5_0F,Map R5
40400AMECH_PP_6_0F,AutoCAD Mechanical R6
40500A-CIVDES_3_0F,Civil Design R3
40600A-SURV_3_0F,Autodesk Survey R3
40700CADOV_2002_0F,CAD Overlay 2002
408003DSMAX_4_3F,Autodesk 3ds max R4.3
40900INVBUN_5_0F,Inventor Series 5
40900MDT_PP_6_0F,Mechanical Desktop R6
41100ACD_2002_0F,AutoCAD 2002
41300BLDSYS_3_0F,Building Systems R3+B38
41400BLDGEL_1_0F,Building Services Electrical R1 and R2
41500BLDGME_1_0F,Building Services Mechanical R1 and R2
41700INVNTOR_5_3F,Inventor 5.3
41800DES_SER_7_0F,Autodesk GIS Design Server R7
41900ARDES_3_0F,AutoCAD Raster Design R3
42000GEN_UDS_2_0F,Autodesk Utility Design R2
421003DSMAX_5_0F,Autodesk 3ds max R5
42200CIVSER_3_0F,Civil Series R3
42300DES_SER_8_0F,Autodesk GIS Design Server R8
42400ARDES_2004_0F,AutoCAD Raster Design 2004
42500MAPSER_5_0F,Map Series 5
42600ACD_2004_0F,AutoCAD 2004
42700OS_AUTH_6_0F,Onsite R6
42800INVBUN_6_0F,Inventor Series 6
42900CIVSER_2004_0F,Civil Series 2004
43100MAP_6_0F,Map R6
43300ACDLAND_2004_0F,Land Desktop 2004
43400AMECH_PP_2004_0F,AutoCAD Mechanical 2004
43500INVBUN_7_0F,Inventor Series 7
43600MAP_2004_0F,Map 2004
43800OS_AUTH_7_0F,Onsite R7
43900MAPSER_6_0F,Map Series 6
44200ADTRPVS_10_1F,CAiCE Visual Survey 10.1
45000BLDSYS_2004_0F,Building Systems 2004
45100OS_AUTH_8_0F,Envision R8
45200MAPSER_2004_0F,Map Series 2004
45300A-SURV_2004_0F,Autodesk Survey 2004
45400A-CIVDES_2004_0F,Civil Design 2004
455003DSMAX_6_0F,Autodesk 3ds max R6
45600INVPRO_7_0F,Inventor Professional 7
45900AMECH_PP_2004DX_0F,AutoCAD Mechanical 2004 DX
46000INVPRO_8_0F,Inventor Professional 8
46100INVBUN_8_0F,Inventor Series 8
46300ACD_2005_0F,AutoCAD 2005
46400INVBUN_9_0F,Inventor Series 9
46500CIVSER_2005_0F,Civil Series 2005
46600MAP_2005_0F,Map 3D 2005
46700ARCHDESK_2005_0F,Architectural Desktop 2005
46800ACDLAND_2005_0F,Land Desktop 2005
46900AMECH_PP_2005_0F,AutoCAD Mechanical 2005
47000MAPSER_2005_0F,Map Series 2005
47100BLDSYS_2005_0F,Building Systems 2005
47200INVPRO_9_0F,Inventor Professional 9
47300ACAD_E_2004_0F,AutoCAD Electrical 2004
47400ACAD_E_2005_0F,AutoCAD Electrical 2005
47600REVITS_1_0F,AutoCAD Revit Series R1
477003DSMAX_7_0F,Autodesk 3ds max R7
47800VIZ_2005_0F,VIZ 2005
48000A-SURV_2005_0F,Autodesk Survey 2005
48100A-CIVDES_2005_0F,Civil Design 2005
48200ARDES_2005_0F,AutoCAD Raster Design 2005
48300CIV3D_2004_0F,Autodesk Civil 3D 2004
48400CIV3D_2005_0F,Autodesk Civil 3D 2005
48400REVITS_2_0F,Revit 6.1
48500REVITS_2_0F,AutoCAD Revit Series R2
48600GEN_UDS_2005_0F,Autodesk Utility Design 2005
48700REVIT_7_0F,Revit 7.0
48700VIZ_2006_0F,VIZ 2006
48800ACD_2006_0F,AutoCAD 2006
48900INVBUN_10_0F,Inventor Series 10
49000INVPRO_10_0F,Inventor Professional 10
49100ARCHDESK_2006_0F,Architectural Desktop 2006
49200ACDLAND_2006_0F,Land Desktop 2006
49300MAP_2006_0F,AutoCAD Map 3D 2006
49400AMECH_PP_2006_0F,AutoCAD Mechanical 2006
49500BLDSYS_2006_0F,Building Systems 2006
49600ACAD_E_2006_0F,AutoCAD Electrical 2006
49700CIV3D_2006_0F,Autodesk Civil 3D 2006
49800REVITS_7_0F,AutoCAD Revit Series 7.0
4D,ISOGEN - Batch
50100REVIT_8_0F,Revit Building 8.0
50200REVITST_1_0F,Revit Structural 1.0
50300REVITS_8_0F,AutoCAD Revit Series 8.0
50400A-SURV_2006_0F,Autodesk Survey 2006
50500ARDES_2006_0F,AutoCAD Raster Design 2006
506003DSMAX_8_0F,Autodesk 3ds max R8
50700REVITS_8_1F,AutoCAD Revit Series 8.1
50800UTLDESN_2006_0F,Autodesk Utility Design 2006
50900REVIT_8_1F,Revit Building 8.1
51000REVITST_2_0F,Revit Structural 2.0
51100REVITSYS_0_5F,Revit Systems 1
51200ACD_2007_0F,AutoCAD 2007
51300INVBUN_11_0F,Inventor Series 11
51400INVPRO_11_0F,Inventor Professional 11
51500ARCHDESK_2007_0F,Architectural Desktop 2007
51600ACDLAND_2007_0F,Land Desktop 2007
51700MAP_2007_0F,AutoCAD Map 3D 2007
51800BLDSYS_2007_0F,Building Systems 2007
51900AMECH_PP_2007_0F,AutoCAD Mechanical 2007
52100ACAD_E_2007_0F,AutoCAD Electrical 2007
52200CIV3D_2007_0F,Autodesk Civil 3D 2007
52300UTLDESN_2007_0F,Autodesk Utility Design 2007
52500REVITS_9_0F,AutoCAD Revit Series Building 9
