lm_feature_code,description,lm_system,lm_vendor
2D0,PDS 2D PID,flexlm,adskflex
2D1,PDS 2D,flexlm,adskflex
2D2,PDS 2D Graphics Only,flexlm,adskflex
2D3,PDS IDM,flexlm,adskflex
3D,PDS 3D,flexlm,adskflex
40100ARCHDESK_3_3F,Architectural Desktop R3.3,flexlm,adskflex
40200ACDLAND_3_0F,Land Development Desktop R3,flexlm,adskflex
40300MAP_5_0F,Map R5,flexlm,adskflex
40400AMECH_PP_6_0F,AutoCAD Mechanical R6,flexlm,adskflex
40500A-CIVDES_3_0F,Civil Design R3,flexlm,adskflex
40600A-SURV_3_0F,Autodesk Survey R3,flexlm,adskflex
40700CADOV_2002_0F,CAD Overlay 2002,flexlm,adskflex
408003DSMAX_4_3F,Autodesk 3ds max R4.3,flexlm,adskflex
40900INVBUN_5_0F,Inventor Series 5,flexlm,adskflex
40900MDT_PP_6_0F,Mechanical Desktop R6,flexlm,adskflex
41100ACD_2002_0F,AutoCAD 2002,flexlm,adskflex
41300BLDSYS_3_0F,Building Systems R3+B38,flexlm,adskflex
41400BLDGEL_1_0F,Building Services Electrical R1 and R2,flexlm,adskflex
41500BLDGME_1_0F,Building Services Mechanical R1 and R2,flexlm,adskflex
41700INVNTOR_5_3F,Inventor 5.3,flexlm,adskflex
41800DES_SER_7_0F,Autodesk GIS Design Server R7,flexlm,adskflex
41900ARDES_3_0F,AutoCAD Raster Design R3,flexlm,adskflex
42000GEN_UDS_2_0F,Autodesk Utility Design R2,flexlm,adskflex
421003DSMAX_5_0F,Autodesk 3ds max R5,flexlm,adskflex
42200CIVSER_3_0F,Civil Series R3,flexlm,adskflex
42300DES_SER_8_0F,Autodesk GIS Design Server R8,flexlm,adskflex
42400ARDES_2004_0F,AutoCAD Raster Design 2004,flexlm,adskflex
42500MAPSER_5_0F,Map Series 5,flexlm,adskflex
42600ACD_2004_0F,AutoCAD 2004,flexlm,adskflex
42700OS_AUTH_6_0F,Onsite R6,flexlm,adskflex
42800INVBUN_6_0F,Inventor Series 6,flexlm,adskflex
42900CIVSER_2004_0F,Civil Series 2004,flexlm,adskflex
43100MAP_6_0F,Map R6,flexlm,adskflex
43200ARCHDESK_2004_0F,Architectural Desktop 2004 and Pre-Release,flexlm,adskflex
43300ACDLAND_2004_0F,Land Desktop 2004,flexlm,adskflex
43400AMECH_PP_2004_0F,AutoCAD Mechanical 2004,flexlm,adskflex
43500INVBUN_7_0F,Inventor Series 7,flexlm,adskflex
43600MAP_2004_0F,Map 2004,flexlm,adskflex
43800OS_AUTH_7_0F,Onsite R7,flexlm,adskflex
43900MAPSER_6_0F,Map Series 6,flexlm,adskflex
44200ADTRPVS_10_1F,CAiCE Visual Survey 10.1,flexlm,adskflex
44200VISPE_10_0F,44200VISPE_10_0F,flexlm,adskflex
44300ADTRPVR_10_1F,Visual Roads 10.1,flexlm,adskflex
44300VISPE_10_0F,44300VISPE_10_0F,flexlm,adskflex
